bee;abeja;;
bumblebee;abejorro;;
hoopoe;abubilla;;
eagle;águila;;
eaglet;aguilucho;;
scorpion;alacrán;escorpión;
albatross;albatros;;
gannet;alcatraz;;
elk;alce;;
moose;alce;;
clam;almeja;;
lark;alondra;;
amoeba;ameba;;
anaconda;anaconda;;
duck;ánade;pato;
mallard;ánade real;;
anphibious;anfibio;;
eel;anguila;;
baby eel;angula;;
elver;angula;;
goose;ánsar;ganso;oca
antelope;antílope;;
arachnid;arácnido;;
spider;araña;;
squirrel;ardilla;;
herring;arenque;;
armadillo;armadillo;;
stoat;armiño;;
jay;arrendajo;;
ass;asno;;
donkey;asno;burro;
tuna;atún;;
tunny;atún;;
ostrich;avestruz;;
bittern;avetoro;;
wasp;avispa;;
bustard;avutarda;;
goshawk;azor;;
slug;babosa;;
baboon;babuino;;
cod;bacalao;;
whale;ballena;;
barracuda;barracuda;;
yearling calf;becerro;;
cockle;berberecho;;
sea bream;besugo;;
bison;bisonte;;
boa;boa;;
lobster;bogavante;langosta;
fresh anchovy;boquerón;;
ox;buey;;
buffalo;búfalo;;
owl;búho;;
eagle owl;búho real;;
vulture;buitre;;
mackerel;caballa;;
sea horse;caballito de mar;;
horse;caballo;;
goat;cabra;;
kid;cabrito;;
cockatoo;cacatúa;;
sperm whale;cachalote;;
alligator;caimán;;
caiman;caimán;;
squid;calamar;;
chameleon;camaleón;;
shrimp;camarón;;
camel;camello;;
canary;canario;;
crab;cangrejo;;
crayfish;cangrejo de río;;
hermit crab;cangrejo ermitaño;;
kangaroo;canguro;;
poodle;caniche;;
snail;caracol;;
winkle;caracol de mar;;
ram;carnero;;
carnivore;carnívoro;;
caribou;caribú;;
carp;carpa;;
beaver;castor;;
zebra;cebra;;
zebu;cebú;;
spider crab;centolla;;
pig;cerdo;;
kestrel;cernícalo;;
fawn;cervatillo;;
cervid;cérvido;;
cetacean;cetáceo;;
centipede;ciempiés;;
deer;ciervo;venado;
Norway lobster;cigala;;
cicada;cigarra;;
stork;cigueña;;
swan;cisne;;
guinea pig;cobaya;conejillo de indias;
cobra;cobra;;
crocodile;cocodrilo;;
quail;codorniz;;
hummingbird;colibrí;;
redstart;colirrojo;;
weasel;comadreja;;
condor;cóndor;;
rabbit;conejo;;
conger eel;congrio;;
chorale;coral;;
lamb;cordero;;
cormorant;cormorán;;
roe deer;corzo;;
parrot;cotorra;loro;papagayo
coyote;coyote;;
prairie wolf;coyote;;
crustacean;crustáceo;;
cockroach;cucaracha;;
cuckoo;cuco;;
crow;cuervo;;
raven;cuervo;;
snake;culebra;serpiente;
jackal;chacal;;
chimpanzee;chimpancé;;
bedbug;chinche;;
chinchilla;chinchilla;;
baby squid;chipirón;;
woodcock;chocha;;
wren;chochín;;
plover;chorlito;;
nightjar;chotacabras;;
dalmatian;dálmata;;
dolphin;delfín;;
dingo;dingo;;
dinosaur;dinosaurio;;
bulldog;dogo;;
dragon;dragón;;
dromedary;dromedario;;
elephant;elefante;;
sea elephant;elefante marino;;
emu;emú;;
hedgehog;erizo;;
sea urchin;erizo de mar;;
beetle;escarabajo;;
starling;estornino;;
starfish;estrella de mar;;
sturgeon;esturión;;
pheasant;faisán;;
flamingo;flamenco;;
seal;foca;;
fox terrier;foxterrier;;
gazelle;gacela;;
freshwater;galápagos;;
greyhound;galgo;;
hen;gallina;;
cock;gallo;;
prawn;gamba;langostino;
fallow deer;gamo;;
chamois;gamuza;rebeco;
gander;ganso;;
heron;garza;;
cat;gato;;
sparrowhawk;gavilán;;
seagull;gaviota;;
swallow;golondrina;;
gorilla;gorila;;
sparrow;gorrión;;
rook;grajo;;
cricket;grillo;;
crane;grulla;;
macaw;guacamayo;;
cheetah;guepardo;;
worm;gusano;;
falcon;halcón;;
hamster;hámster;;
herbivore;herbívoro;;
hyena;hiena;;
hippopotamus;hipopótamo;;
ant;hormiga;;
ferret;hurón;;
ibex;íbice;;
ibis;ibis;;
iguana;iguana;;
impala;impala;;
insectivore;insectívoro;;
insect;insecto;;
wild boar;jabalí;;
pony;jaca;;
jaguar;jaguar;;
goldfinch;jilguero;;
giraffe;jirafa;;
koala;koala;;
small lizard;lagartija;;
lizard;lagarto;;
lamprey;lamprea;;
locust;langosta (insecto);;
barn owl;lechuza;;
lemur;lémur;;
sole;lenguado;;
lion;león;;
sea lion;león marino;;
leopard;leopardo;;
dragonfly;libélula;;
hare;liebre;;
lynx;lince;;
dormouse;lirón;;
wolf;lobo;;
earth worm;lombriz;;
sea bass;lubina;;
glow-worm;luciérnaga;;
pike;lucio;;
llama;llama;;
macaque;macaco;;
mammal;mamífero;;
mammoth;mamut;;
mandrill;mandril;;
mongoose;mangosta;;
manta ray;mantarraya;;
stingray;mantarraya;;
mantis;mantis;;
praying mantis;mantis religiosa;;
racoon;mapache;;
butterfly;mariposa;;
ladybird;mariquita;;
shellfish;mariscos;;
marmot;marmota;;
porpoise;marsopa;;
marsupial;marsupial;;
marten;marta;;
