abeja;bee;;
abejorro;bumblebee;;
abubilla;hoopoe;;
águila;eagle;;
aguilucho;eaglet;;
alacrán;scorpion;;
albatros;albatross;;
alcatraz;gannet;;
alce;elk;moose;
almeja;clam;;
alondra;lark;;
ameba;amoeba;;
anaconda;anaconda;;
ánade;duck;;
ánade real;mallard;;
anfibio;anphibious;;
anguila;eel;;
angula;baby eel;elver;
ánsar;goose;;
antílope;antelope;;
arácnido;arachnid;;
araña;spider;;
ardilla;squirrel;;
arenque;herring;;
armadillo;armadillo;;
armiño;stoat;;
arrendajo;jay;;
asno;ass;donkey;
atún;tuna;tunny;
avestruz;ostrich;;
avetoro;bittern;;
avispa;wasp;;
avutarda;bustard;;
azor;goshawk;;
babosa;slug;;
babuino;baboon;;
bacalao;cod;;
ballena;whale;;
barracuda;barracuda;;
becerro;yearling calf;;
berberecho;cockle;;
besugo;sea bream;;
bisonte;bison;;
boa;boa;;
bogavante;lobster;;
boquerón;fresh anchovy;;
buey;ox;;
búfalo;buffalo;;
búho;owl;;
búho real;eagle owl;;
buitre;vulture;;
burro;donkey;;
caballa;mackerel;;
caballito de mar;sea horse;;
caballo;horse;;
cabra;goat;;
cabrito;kid;;
cacatúa;cockatoo;;
cachalote;sperm whale;;
caimán;alligator;caiman;
calamar;squid;;
camaleón;chameleon;;
camarón;shrimp;;
camello;camel;;
canario;canary;;
cangrejo;crab;;
cangrejo de río;crayfish;;
cangrejo ermitaño;hermit crab;;
canguro;kangaroo;;
caniche;poodle;;
caracol;snail;;
caracol de mar;winkle;;
carnero;ram;;
carnívoro;carnivore;;
caribú;caribou;;
carpa;carp;;
castor;beaver;;
cebra;zebra;;
cebú;zebu;;
centolla;spider crab;;
cerdo;pig;;
cernícalo;kestrel;;
;fawn;;
cérvido;cervid;;
cetáceo;cetacean;;
ciempiés;centipede;;
ciervo;deer;;
cigala;Norway lobster;;
cigarra;cicada;;
cigueña;stork;;
cisne;swan;;
cobaya;guinea pig;;
cobra;cobra;;
cocodrilo;crocodile;;
codorniz;quail;;
colibrí;hummingbird;;
colirrojo;redstart;;
comadreja;weasel;;
cóndor;condor;;
conejillo de indias;guinea pig;;
conejo;rabbit;;
congrio;conger eel;;
coral;chorale;;
cordero;lamb;;
cormorán;cormorant;;
corzo;roe deer;;
