fir;abeto;
birch;abedul;
acacia;acacia;
locust t;algarrobo;falsa acacia
holly t;acebo;
avocado pear t;aguacate;
poplar;álamo;
aspen;álamo temblón;
cork t;alcornoque;
larch;alerce;
alga;alga;
carob t;algarrobo;
alder;aliso;
almond t;almendro;
cashew t;anacardo;
araucaria;araucaria;
bush;arbusto;
maple;arce;
hazel nut t;avellano;
bamboo;bambú;
baobab;baobab;
heather;brezo;
mahogany;caoba;
chestnut t;castaño;
horse chestnut t;castaño de indias;
cedar;cedro;
cherry t;cerezo;
cypress;ciprés;
plum t;ciruelo;
coconut palm;cocotero;
black poplar;chopo;
dragon t;drago;
peach t;durazno;melocotonero
ebony;ébano;
holm oak;encina;
ilex;encina;
climbing plant;enredadera;
creeper plant;enredadera;
eucalyptus;eucalipto;
ash;fresno;
ginkgo;ginkgo;
beech t;haya;
fig t;higuera;
fungus;hongo;
lemon t;limonero;
arbutus;madroño;
strawberry t;madroño;
mandarin t;mandarino;
mango t;mango;
apple t;manzano;
thicket;matorral;
quince t;membrillo;
mimosa;mimosa;
orange t;naranjo;
medlar t;níspero;
walnut t;nogal;
olive t;olivo;
elm;olmo;
palm;palmera;
pear t;peral;
pine;pino;
plankton;plancton;
banana t;plátano;
plane;plátano ornamental;
grapefruit t;pomelo;
oak;roble;
willow;sauce;
weeping willow;sauce llorón;
elder;saúco;
sequoia;secuoya;
sycamore;sicómoro;
yew t;tejo;
lime;tilo;
tulip-t;tulípero;
vine;vid;viña
