abeto;fir;
abedul;birch;
acacia;acacia;
acacia falsa;locust t;
acebo;holly t;
aguacate;avocado pear t;
álamo;poplar;
álamo temblón;aspen;
alcornoque;cork t;
alerce;larch;
alga;alga;
algarrobo;carob t;locust t
aliso;alder;
almendro;almond t;
anacardo;cashew t;
araucaria;araucaria;
arbusto;bush;
arce;maple;
avellano;hazel nut t;
bambú;bamboo;
baobab;baobab;
brezo;heather;
caoba;mahogany;
castaño;chestnut t;
castaño de indias;horse chestnut t;
cedro;cedar;
cerezo;cherry t;
ciprés;cypress;
ciruelo;plum t;
cocotero;coconut palm;
chopo;black poplar;
drago;dragon t;
durazno;peach t;
ébano;ebony;
encina;holm oak;ilex
enredadera;climbing/creeper plant;
eucalipto;eucalyptus;
fresno;ash;
ginkgo;ginkgo;
haya;beech t;
higuera;fig t;
hongo;fungus;
limonero;lemon t;
madroño;arbutus;strawberry t
mandarino;mandarin t;
mango;mango t;
manzano;apple t;
matorral;thicket;
melocotonero;peach t;
membrillo;quince t;
mimosa;mimosa;
naranjo;orange t;
níspero;medlar t;
nogal;walnut t;
olivo;olive;
olmo;elm;
palmera;palm t;
peral;pear t;
pino;pine;
plancton;plankton;
plátano;banana t;
plátano ornamental;plane;
pomelo;grapefruit t;
roble;oak;
sauce;willow;
sauce llorón;weeping willow;
saúco;elder;
secuoya;sequoia;
sicómoro;sycamore;
tejo;yew t;
tilo;lime;
tulípero;tulip-t;
vid;vine;
viña;vine;
