abdomen;abdomen;;
tonsil;amígdala;;
forearm;antebrazo;;
aorta;aorta;;
appendix;apéndice;;
wrinkle;arruga;;
artery;arteria;;
articulation;articulación;;
joint;articulación;;
atom;átomo;;
auricle;aurícula;;
armpit;axila;sobaco;
beard;barba;;
chin;barbilla;mentón;
belly;barriga;panza;vientre
spleen;bazo;;
biceps;bíceps;;
moustache;bigote;;
mouth;boca;;
bronchial tube;bronquio;;
hair;cabello;pelo;
head;cabeza;;
hip;cadera;;
callus;callo de mano;;
corn;callo de pie;;
eyebrow;ceja;;
cell;célula;;
cerebellum;cerebelo;;
brain;cerebro;;
scar;cicatriz;;
waist;cintura;;
clavicle;clavícula;;
collar bone;clavícula;;
coccyx;cóccix;;
elbow;codo;;
eye tooth;colmillo;;
heart;corazón;;
crown;coronilla;;
rib;costilla;;
coccyx;cóccix;;
cranium;cráneo;;
skull;cráneo;;
quadriceps;cuádriceps;;
neck;cuello;;
ass;culo;;
backside;culo;;
bottom;culo;;
hump;chepa;;
ring finger;dedo anular;;
toe;dedo del pie;;
index finger;dedo índice;;
middle finger;dedo medio;;
little finger;dedo meñique;;
thumb;dedo pulgar;;
deltoid;deltoides;;
diaphragm;diafragma;;
tooth;diente;;
teeth;dientes;;
back;dorso;espalda;
duodenum;duodeno;;
embryo;embrión;;
instep;empeine;;
encephalon;encéfalo;;
gum;encía;;
space between the eyebrows;entrecejo;;
crotch;entrepierna;;
scrotum;escroto;;
esophagus;esófago;;
spine;espina dorsal;;
skeleton;esqueleto;;
breastbone;esternón;;
stomach;estómago;;
limb;extremidad;;
pharynx;faringe;;
face;faz;;
forehead;frente;;
ganglion;ganglio;;
lymph node;ganglio linfático;;
throat;garganta;;
gene;gen;;
genital;genital;;
gland;glándula;;
white corpuscle;glóbulo blanco;;
red corpuscle;glóbulo rojo;;
gluteus;glúteo;;
liver;hígado;;
hypothalamus;hipotálamo;;
shoulder;hombro;;
hormone;hormona;;
dimple;hoyuelo;;
bone;hueso;;
humerus;húmero;;
groin;ingle;;
small intestine;intestino delgado;;
large intestine;intestino grueso;;
iris;iris;;
lip;labio;;
tear;lágrima;;
larynx;laringe;;
tongue;lengua;;
ligament;ligamento;;
lymph;linfa;;
mole;lunar;;
breast;mama;;
jaw;mandíbula;maxilar;quijada
masseter;masetero;;
jawbone;maxilar;quijada;
marrow;médula;;
spinal cord;médula espinal;;
bone marrow;médula ósea;;
cheek;mejilla;;
meniscus;menisco;;
chubby cheek;moflete;;
bun;moño;;
tooth;muela;;
wrist;muñeca;;
stump;muñón;;
muscle;músculo;;
thigh;muslo;;
buttocks;nalgas;;
nose;nariz;;
nerve;nervio;;
neuron;neurona;;
back of the neck;nuca;;
knuckle;nudillo;;
bags under the eyes;ojeras;;
eye;ojo;;
navel;ombligo;;
shoulder blade;omóplato;;
ear;oreja;;
organ;órgano;;
urine;orina;;
ovule;óvulo;;
ovum;óvulo;;
palate;paladar;;
pancreas;páncreas;;
calf;pantorrilla;;
paunch;panza;;
eyelid;párpado;;
sideburns;patillas;;
chest;pecho;;
penis;pene;;
eyelash;pestaña;;
nipple;pezón;;
foot;pie;;
feet;pies;;
skin;piel;;
leg;pierna;;
cheekbone;pómulo;;
pore;poro;;
lung;pulmón;;
fist;puño;;
pupil;pupila;;
retina;retina;;
kidney;riñón;;
knee;rodilla;;
kneecap;rótula;;
chilblain;sabañón;;
blood;sangre;;
bosom;seno;;
heel;talón;;
tendon;tendón;;
testicle;testículo;;
tit;teta;;
eardrum;tímpano;;
tympanum;tímpano;;
thyroid gland;tiroides;;
ankle;tobillo;;
thorax;tórax;;
torso;torso;;
trachea;tráquea;;
windpipe;tráquea;;
bottom;trasero;;
gut, intestine;tripa;;
ulcer;úlcera;;
nail;uña;;
toenail;uña del pie;;
uterus;útero;;
womb;útero;vientre;
vagina;vagina;;
bladder;vejiga;;
fuzz;vello;;
soft hair;vello;;
vein;vena;;
ventricle;ventrículo;;
verruca;verruga;;
wart;verruga;;
vertebra;vértebra;;
vesicle;vesícula;;
gallbladder;vesícula biliar;;
viscera;víscera;;
fingertip;yema del dedo;;
jugular;yugular;;
