abdomen;abdomen;;
amígdala;tonsil;;
antebrazo;forearm;;
aorta;aorta;;
apéndice;appendix;;
arruga;wrinkle;;
arteria;artery;;
articulación;articulation;joint;
átomo;atom;;
aurícula;auricle;;
axila;armpit;;
barba;beard;;
barbilla;chin;;
barriga;belly;;
bazo;spleen;;
bíceps;biceps;;
bigote;moustache;;
boca;mouth;;
bronquio;bronchial tube;;
cabello;hair;;
cabeza;head;;
cadera;hip;;
callo de mano;callus;;
callo de pie;corn;;
ceja;eyebrow;;
célula;cell;;
cerebelo;cerebellum;;
cerebro;brain;;
cicatriz;scar;;
cintura;waist;;
clavícula;clavicle;collar bone;
cóccix;coccyx;;
codo;elbow;;
colmillo;eye tooth;;
corazón;heart;;
coronilla;crown;;
costilla;rib;;
cóccix;coccyx;;
cráneo;cranium;skull;
cuádriceps;quadriceps;;
cuello;neck;;
culo;ass;backside;bottom
chepa;hump;;
dedo anular;ring finger;;
dedo del pie;toe;;
dedo índice;index finger;;
dedo medio;middle finger;;
dedo meñique;little finger;;
dedo pulgar;thumb;;
deltoides;deltoid;;
diafragma;diaphragm;;
diente/s;tooth/teeth;;
dorso;back;;
duodeno;duodenum;;
embrión;embryo;;
empeine;instep;;
encéfalo;encephalon;;
encía;gum;;
entrecejo;space between the eyebrows;;
entrepierna;crotch;;
escroto;scrotum;;
esófago;esophagus;;
espalda;back;;
espina dorsal;spine;;
esqueleto;skeleton;;
esternón;breastbone;;
estómago;stomach;;
extremidad;limb;;
faringe;pharynx;;
faz;face;;
frente;forehead;;
ganglio;ganglion;;
ganglio linfático;lymph node;;
garganta;throat;;
gen;gene;;
genital;genital;;
glándula;gland;;
glóbulo blanco;white corpuscle;;
glóbulo rojo;red corpuscle;;
glúteo;gluteus;;
hígado;liver;;
hipotálamo;hypothalamus;;
hombro;shoulder;;
hormona;hormone;;
hoyuelo;dimple;;
hueso;bone;;
húmero;humerus;;
ingle;groin;;
intestino delgado;small intestine;;
intestino grueso;large intestine;;
iris;iris;;
labio;lip;;
lágrima;tear;;
laringe;larynx;;
lengua;tongue;;
ligamento;ligament;;
linfa;lymph;;
lunar;mole;;
mama;breast;;
mandíbula;jaw;;
masetero;masseter;;
maxilar;jaw;jawbone;
médula;marrow;;
médula espinal;spinal cord;;
médula ósea;bone marrow;;
mejilla;cheek;;
menisco;meniscus;;
mentón;chin;;
moflete;chubby cheek;;
moño;bun;;
muela;tooth;;
muñeca;wrist;;
muñón;stump;;
músculo;muscle;;
muslo;thigh;;
nalgas;buttocks;;
nariz;nose;;
nervio;nerve;;
neurona;neuron;;
nuca;back of the neck;;
nudillo;knuckle;;
ojeras;bags under the eyes;;
ojo;eye;;
ombligo;navel;;
omóplato;shoulder blade;;
oreja;ear;;
órgano;organ;;
orina;urine;;
óvulo;ovule;ovum;
paladar;palate;;
páncreas;pancreas;;
pantorrilla;calf;;
panza;belly;paunch;
párpado;eyelid;;
patillas;sideburns;;
pecho;chest;;
pelo;hair;;
pene;penis;;
pestaña;eyelash;;
pezón;nipple;;
pie/pies;foot/feet;;
piel;skin;;
pierna;leg;;
pómulo;cheekbone;;
poro;pore;;
pulmón;lung;;
puño;fist;;
pupila;pupil;;
quijada;jaw;jawbone;
retina;retina;;
riñón;kidney;;
rodilla;knee;;
rótula;kneecap;;
sabañón;chilblain;;
sangre;blood;;
seno;bosom;;
sobaco;armpit;;
talón;heel;;
tendón;tendon;;
testículo;testicle;;
teta;tit;;
tímpano;eardrum;tympanum;
tiroides;thyroid gland;;
tobillo;ankle;;
tórax;thorax;;
torso;torso;;
tráquea;trachea;windpipe;
trasero;bottom;;
tripa;gut;intestine;
úlcera;ulcer;;
uña;nail;;
uña del pie;toenail;;
útero;uterus;womb;
vagina;vagina;;
vejiga;bladder;;
vello;fuzz;soft hair;
vena;vein;;
ventrículo;ventricle;;
verruga;verruca;wart;
vértebra;vertebra;;
vesícula;vesicle;;
vesícula biliar;gallbladder;;
vientre;belly;womb;
víscera;viscera;;
yema del dedo;fingertip;;
yugular;jugular;;
