steel;acero;
paving stone;adoquín;
paving;adoquinado;
tiling;alicatado;
tar;alquitrán;
aluminium;aluminio;
ammonia;amoníaco;
scaffold;andamio;
ledge;antepecho;
sill;antepecho;
clay;arcilla;
arch;arco;
sand;arena;
arsenic;arsénico;
asphalt;asfalto;
glazed tile;azulejo;
drainpipe;bajante;
balaustrade;balaustrada;
floor tile;baldosa;
rail;barandilla de balcón;
banisters;barandilla de escalera;
vault;bóveda;
cable;cable;
wire;cable;
boiler;caldera;
heating;calefacción;
heater;calentador;
gutter;canalón;
sandpit;cantera de arena;
stone quarry;cantera de piedra;
pipe;cañería;
coal;carbón;
cardboard;cartón;
rubber;caucho;
cement;cemento;
ash;ceniza;
wax;cera;
foundation;cimentación;
skylight;claraboya;lucernario
keystone;clave;
copper;cobre;
column;columna;
fuel;combustible;
condenser;condensador;
plywood;contrachapado;
buttress;contrafuerte;
shutter;contraventana;
cork;corcho;
cornice;cornisa;
glass;cristal;
quartz;cuarzo;
cord;cuerda;
rope;cuerda;
string;cuerda;
leather;cuero;
cupola;cúpula;
dome;cúpula;
sheet metal;chapa;
connection;acometida;
lintel;dintel;
keystone;dovela;
paving;empedrado;
slate roof;empizarrado;
flagstone pavement;enlosado;
plaster;enlucido;
parquet floor;entarimado;
floorboarding;entarimado de madera;
emerald;esmeralda;
tin;estaño;
framework;estructura de edificio;
evaporator;evaporador;
front;fachada;
fluorine;flúor;
phosphorus;fósforo;
galvanized;galvanizado;
gargoyle;gárgola;
gas;gas;
diesel oil;gasoil;
petrol;gasolina;
generator;generador;
wind turbine;generador eólico;
gravel;grava;
crack;grieta;
crane;grúa;
hydrogen;hidrógeno;
iron;hierro;
tin;hojalata;
concrete;hormigón;
reinforced concrete;hormigón armado;
pre-stressed concrete;hormigón pretensado;
soft coal;hulla;
waterproofing;impermeabilizante;
main beam;jácena;
jade;jade;
jamb;jamba;
jasper;jaspe;
brick;ladrillo;
laminate;laminado;
sheet s;laminado;
whitewash;lechada;
strip;listón;
slab;losa;
timber;madera para la construcción;viga de madera
wood;madera;
magnesium;magnesio;
masonry;mampostería;
ivory;marfil;
marble;mármol;
hammer;martillo;
corbel;ménsula;
mercury;mercurio;
metal;metal;
mineral;mineral;
ore;mineral;
nitrogen;nitrógeno;
gold;oro;
oxide;óxido;
rust;óxido (en metal);
oxygen;oxígeno;
ozone;ozono;
face;paramento;
wall;pared;
pavement;pavimento;
flooring;pavimento interior;
pearl;perla;
fuel oil;petróleo (combustible);
crude oil;petróleo (crudo);
pile;pilote;
slate;pizarra;
plastic;plástico;
silver;plata;
lead;plomo;
polyester;poliéster;
polystyrene;poliestireno;
polythene;polietileno;
polyurethane;poliuretano;
porcelain;porcelana;
prefabricated;prefabricado;
resin;resina;
coating;revestimiento;
brace;riostra;
strut;riostra;
rivet;roblón;
skirting board;rodapié;
ruby;rubí;
wheel;rueda;
silk;seda;
sawdust;serrín;
saw;sierra;
block of stone;sillar;
partition;tabique;
thin wall;tabique;
board;tabla (madera);
drill;taladro;
roof;techo exterior;
ceiling;techo interior;
tiled roof;tejado;
chalk;tiza;
screw;tornillo (en punta);
bolt;tornillo (para tuerca);
nut;tuerca;
turbine;turbina;
turquoise;turquesa;
uranium;uranio;
valve;válvula;
vapour;vapor;
ventilation;ventilación;
glass;vidrio;
beam;viga de madera;
girder;viga de metal;
main beam;viga maestra;
crossbeam;viga transversal;
projecting;voladizo;
plaster;yeso;
base;zócalo;
plinth;zócalo;
metal band;zuncho;
metal hoop;zuncho;
