abbot/abbess;abad/esa;
lawyer;abogado;
academic;académico;
usher/ette;acomodador/a;
acrobat;acróbata;
actor/actress;actor/actriz;
water colorist;acuarelista;
acupuncturist;acupuntor;
fortune-teller;adivino;
administrator;administrador;
administrative;administrativo;
customs officer;aduanero;
knife grinder;afilador;
tuner;afinador;
agent;agente;
farmer;agricultor;
chess player;ajedrecista;
bricklayer;albañil;
mayor/ess;alcalde/sa;
allergist;alergólogo;
potter;alfarero;
climber;alpinista;montañero
mountaineer;alpinista;montañero
anaesthetist;anestesista;
anthropologist;antropólogo;
quantity surveyor;aparejador;
beekeeper;apicultor;
apprentice;aprendiz de oficio;
prompter;apuntador;
arbitrator;árbitro;
referee;árbitro deportivo;
archivist;archivero (biblioteca);
filing clerk;archivero (oficina);
gunsmith;armero (artesano);
arms manufacturer;armero (fabricante);
harpist;arpista;
archaeologist;arqueólogo;
architect;arquitecto;
landlord/lady;arrendador/a;
artisan;artesano;
columnist;articulista;
artist;artista;
archbishop;arzobispo;
adviser;asesor;
consultant;asesor;
astrologer;astrólogo;
astronaut;astronauta;
astronomer;astrónomo;
athlete;atleta;
auditor;auditor;
author;autor;
aviator;aviador;
air hostess;azafata de vuelo;
bacteriologist;bacteriólogo;
dancer;bailarín;
banker;banquero;
barber;barbero;
baritone;barítono;
baron;barón;
sweeper;barrendero;
dustman;basurero;
garbage man;basurero;
librarian;bibliotecario;
biographer;biógrafo;
biologist;biólogo;
fireman;bombero;
botanical;botánico;
boxer;boxeador;
joker;bromista;
diver;buzo;
chiropodist;callista;podólogo
waiter/waitress;camarero/a;
lorry driver;camionero;
countryman;campesino;
singer;cantante;
opera singer;cantante de ópera;
stonemason;cantero;
captain;capitán;
coalman;carbonero;
jailer;carcelero;
cartoonist;caricaturista;
butcher;carnicero;
carpenter;carpintero;
billposter;cartelero;
postman;cartero;
cartographer;cartógrafo;
hunter/huntress;cazador/a;
locksmith;cerrajero;
cyclist;ciclista;
scientist;científico;
surgeon;cirujano;
plastic surgeon;cirujano plástico;
clarinettist;clarinetista;
cook;cocinero;
commentator;comentarista;
trader;comerciante;
composer;compositor;
town councillor;concejal;
count;conde;
bus driver;conductor de autobús;
lecturer;conferenciante;
confectioner;confitero;
hall porter;conserje de colegio;
caretaker;conserje de edificio oficial;
head porter;conserje de facultad;
builder;constructor;
accountant;contable;
contrabasso;contrabajo (voz);
low bass;contrabajo (voz);
contralto;contralto;
contractor;contratista;
Co-driver;copiloto;
co-pilot;copiloto;
copyist;copista;
choreographer;coreógrafo;
chorister;corista;
dressmaker;costurera;modista
servant;criado;
critic;crítico;
chronicler;cronista;
priest2;cura, sacerdote;
tanner;curtidor;
driver;chófer;
delegate;delegado;
drowghtsman;delineante;
dentist;dentista;
shop assistant;dependiente;
sportsman;deportista;
dermatologist;dermatólogo;
chimney sweep;deshollinador;
detective;detective;
private detective;detective privado;
dictator;dictador;
diplomat;diplomático;
deputy;diputado;
member of parliament;diputado;
director;director;
designer;diseñador;
PhD student;doctorando;
tamer;domador;
dramatist;dramaturgo;
duke/duchess;duque/sa;
cabinetmaker;ebanista;
ecologist;ecologista;
economist;economista;
publisher;editor (publicador);
editor;editor (redactor);
executive;ejecutivo;
electrician;electricista;
ambassador/ambassadress;embajador/a;
emperor;emperador;
employee;empleado;
bank clerk;empleado de banca;
businessman;empresario;
snake charmer;encantador de serpientes;
manager;encargado;gestor
person in charge;encargado;
bookbinder;encuadernador;
pollster;encuestador;
endocrinologist;endocrinólogo;
nurse;enfermero;
oenologist;enólogo;
essayist;ensayista;
gravedigger;enterrador;
entomologist;entomólogo;
coach;entrenador;
interviewer;entrevistador;
tightrope walker;equilibrista;
hermit;ermitaño;
scaler;escalador;
window dresser;escaparatista;
stage designer;escenógrafo;
escort;escolta;
writer;escritor;
sculptor;escultor;
specialist;especialista;
stuntman;especialista de cine;
spectator;espectador;
speleologist;espeleólogo;
spy;espía;
skier;esquiador;
shearer;esquilador;
statistician;estadista matemático;
statesman;estadista político;
beautician;esteticista;
stomatologist;estomatólogo;
student;estudiante;
university student;estudiante universitario;
etymologist;etimólogo;
ethnographer;etnógrafo;
ethnologist;etnólogo;
hiker;excursionista;
tripper;excursionista;
member of an expedition;expedicionario;
explorer;explorador;
exporter;exportador;
maker;fabricante;
manufacturer;fabricante;
bassoonist;fagotista;
Pharaoh;faraón;
chemist;farmacéutico;químico
druggist;farmacéutico;
pharmacist;farmacéutico;
fair-goers;feriante;
extra;figurante;
philologist;filólogo;
philosopher;filósofo;
public prosecutor;fiscal;
physicist;físico;
phisiotherapist;fisioterapeuta;
flutist;flautista;
flower-grower;floricultor;
florist;florista;
phonologist;fonólogo;
plumber;fontanero;
forensic scientist;forense;patólogo
photographer;fotógrafo;
friar;fraile;
fruiterer;frutero;
exterminator;fumigador;
civil servant;funcionario público;
footballer;futbolista;
piper;gaitero;
stockman;ganadero;
gastronome;gastrónomo;
gourmet;gastrónomo;
geriatrician;geriatra;
agent;gestor;
gymnast;gimnasta;
gynaecologist;ginecólogo;
governor;gobernador;
golfer;golfista;
gondolier;gondolero;
engraver;grabador;
graphologist;grafólogo;
civil guard;guardia civil;
traffic policeman;guardia de tráfico;
policeman;guardia urbano;
warrior;guerrero;
guerrilla;guerrillero;
guide;guía;
tour guide;guía turístico;
scriptwriter;guionista;
guitarist;guitarrista;
ice cream seller;heladero;
farrier;herrador;
smith;herrero;
spinner;hilandero;
hypnotist;hipnotizador;
historian;historiador;
tinsmith;hojalatero;
homeopath;homeópata;
gardener;hortelano;jardinero
horticulturist;horticultor;
innkeeper;hostelero;
hotelier;hotelero;
humorist;humorista;
illustrator;ilustrador;
importer;importador;
civil engineer;ingeniero de caminos;
forestry expert;ingeniero forestal;silvicultor
industrial engineer;ingeniero industrial;
tenant;inquilino;
inspector;inspector;
governess;institutriz;
interpreter;intérprete;
controller;interventor;
inventor;inventor;
investigator;investigador;
boss;jefe;
chief;jefe;
head;jefe;
leader;jefe;
chef;jefe de cocina;
head of state;jefe de estado;
horseman;jinete;
labourer;jornalero;
jeweller;joyero;
judge;juez;
farmworker;labrador;
laundryman;lavandero;
woodcutter;leñador;
bookseller;librero;
linguist;linguista;
lithographer;litógrafo;
sports commentator;locutor deportivo;
announcer;locutor de radio;
newsreader;locutor de radio;
speech therapist;logopeda;
psychiatric nurse;loquero;
master;maestro;
gangster;mafioso;
mafioso;mafioso;
magistrate;magistrado;
magician;mago;
wizard;mago;
juggler;malabarista;
model maker;maquetista;
make-up artist;maquillador;
machinist;maquinista;
marathon runner;maratoniano;
sailor;marinero;
marquis/marchioness;marqués/a;
masseur/masseuse;masajista/a;
mathematician;matemático;
butler;mayordomo;
mechanic;mecánico;
typist;mecanógrafo;
doctor;médico;
obstetrician;médico partero;
metallurgist;metalúrgico;
metalworker;metalúrgico;
meteorologist;meteorólogo;
miner;minero;
minister;ministro;
mythologist;mitólogo;
model;modelo;
moderator;moderador;
miller;molinero;
nun;monja;
monk;monje;
musician;músico;
swimmer;nadador;
naturopath;médico naturista;
neurosurgeon;neurocirujano;
neurologist;neurólogo;
nanny;niñera;
notary;notario;
novelist;novelista;
bishop;obispo;
worker;obrero;
oculist;oculista;
odontologist;odontólogo;
clerk;oficinista;
office worker;oficinista;
ophthalmologist;oftalmólogo;
oncologist;oncólogo;
gold/silversmith;orfebre;
organist;organista;
ornithologist;ornitólogo;
orthopaedist;ortopedista;
osteologist;osteólogo;
osteopath;osteópata;
ENT specialist;otorrinolaringólogo;
otolaryngologist;otorrinolaringólogo;
paleologist;paleólogo;
paleontologist;paleontólogo;
baker;panadero;
pope;papa;
parachutist;paracaidista;
parliamentarian;parlamentario;
parish priest;párroco;
pastry cook;pastelero;
goatherd;pastor de cabras;
