abad/esa;abbot/abbess;;;
abogado;lawyer;;;
académico;academic;;;
acomodador/a;usher/ette;;;
acróbata;acrobat;;;
actor/actriz;actor/actress;;;
acuarelista;water colorist;;;
acupuntor;acupuncturist;;;
adivino;fortune-teller;;;
administrador;administrator;;;
administrativo;administrative;;;
aduanero;customs officer;;;
afilador;knife grinder;;;
afinador;tuner;;;
agente;agent;;;
agricultor;farmer;;;
ajedrecista;chess player;;;
albañil;bricklayer;;;
alcalde/sa;mayor/ess;;;
alergólogo;allergist;;;
alfarero;potter;;;
alpinista;climber;;;
anestesista;anaesthetist;;;
antropólogo;anthropologist;;;
aparejador;quantity surveyor;;;
apicultor;beekeeper;;;
aprendiz de oficio;apprentice;;;
apuntador;prompter;;;
árbitro;arbitrator;;;
árbitro deportivo;referee;;;
archivero (biblioteca);archivist;;;
archivero (oficina);filing clerk;;;
armero (artesano);gunsmith;;;
armero (fabricante);arms manufacturer;;;
arpista;harpist;;;
arqueólogo;archaeologist;;;
arquitecto;architect;;;
arrendador/a;landlord/lady;;;
artesano;artisan;;;
articulista;columnist;;;
artista;artist;;;
arzobispo;archbishop;;;
asesor;adviser;consultant;;
astrólogo;astrologer;;;
astronauta;astronaut;;;
astrónomo;astronomer;;;
atleta;athlete;;;
auditor;auditor;;;
autor;author;;;
aviador;aviator;;;
azafata de vuelo;air hostess;;;
bacteriólogo;bacteriologist;;;
bailarín;dancer;;;
banquero;banker;;;
barbero;barber;;;
barítono;baritone;;;
barón;baron;;;
barrendero;sweeper;;;
basurero;dustman;garbage man;;
bibliotecario;librarian;;;
biógrafo;biographer;;;
biólogo;biologist;;;
bombero;fireman;;;
botánico;botanical;;;
boxeador;boxer;;;
bromista;joker;;;
buzo;diver;;;
callista;chiropodist;;;
camarero/a;waiter/waitress;;;
camionero;lorry driver;;;
campesino;countryman;;;
cantante;singer;;;
cantante de ópera;opera singer;;;
cantero;stonemason;;;
capitán;captain;;;
carbonero;coalman;;;
carcelero;jailer;;;
caricaturista;cartoonist;;;
carnicero;butcher;;;
carpintero;carpenter;;;
cartelero;billposter;;;
cartero;postman;;;
cartógrafo;cartographer;;;
cazador/a;hunter/huntress;;;
cerrajero;locksmith;;;
ciclista;cyclist;;;
científico;scientist;;;
cirujano;surgeon;;;
cirujano plástico;plastic surgeon;;;
clarinetista;clarinettist;;;
cocinero;cook;;;
comentarista;commentator;;;
comerciante;trader;;;
compositor;composer;;;
concejal;town councillor;;;
conde;count;;;
conductor de autobús;bus driver;;;
conferenciante;lecturer;;;
confitero;confectioner;;;
conserje de colegio;hall porter;;;
conserje de edificio oficial;caretaker;;;
conserje de facultad;head porter;;;
constructor;builder;;;
contable;accountant;;;
contrabajo (voz);contrabasso;low bass;;
contralto;contralto;;;
contratista;contractor;;;
copiloto;co-driver;co-pilot;;
copista;copyist;;;
coreógrafo;choreographer;;;
corista;chorister;;;
costurera;dressmaker;;;
criado;servant;;;
crítico;critic;;;
cronista;chronicler;;;
cura;priest;;;
curtidor;tanner;;;
chófer;driver;;;
delegado;delegate;;;
delineante;drowghtsman;;;
dentista;dentist;;;
dependiente;shop assistant;;;
deportista;sportsman;;;
dermatólogo;dermatologist;;;
deshollinador;chimney sweep;;;
detective;detective;;;
detective privado;private detective;;;
dictador;dictator;;;
diplomático;diplomat;;;
diputado;deputy;member of parliament;;
director;director;;;
diseñador;designer;;;
doctorando;PhD student;;;
domador;tamer;;;
dramaturgo;dramatist;;;
duque/sa;duke/duchess;;;
ebanista;cabinetmaker;;;
