leave-left;abandonar;
Finish-finished;acabar;terminar
accept-accepted;aceptar;
reach-reached;alcanzar;
feed-fed;alimentar;
add-added;añadir;
walk-walked;andar;
turn off-turned off;apagar;
learn-learnt/learned;aprender;
Pass-passed;aprobar;pasar
argue-argued;argumentar;
Crawl-crawled;arrastrarse;gatear
tie-tied;atar;
help-helped;ayudar;
swing-swung;balancearse;
drink-drank-drunk;beber;
shine-shone;brillar;
fall-fell-fallen;caer;
change-changed;cambiar;
sing-sang-sung;cantar;
marry-married;casarse;
shut;cerrar;
Flow-flowed;circular;fluir
cook-cooked;cocinar;
catch-caught;coger;
take-took-taken;coger;
borrow-borrowed;coger prestado;
collect-collected;coleccionar;
eat-ate-eaten;comer;
share-shared;compartir;
buy-bought;comprar;
check-checked;comprobar;
drive-drove-driven;conducir;
freeze-froze-frozen;congelar;
get-got;conseguir;
build-built;construir;
tell-told;contar;
reply-replied;contestar;responder
answer-answered;contestar;responder
copy-copied;copiar;
run-ran-run;correr;
cut;cortar;
cost;costar;
grow-grew-grown;crecer;
believe-believed;creer;
cover-covered;cubrir;
chat-chatted;charlar;
give-gave-given;dar;
say-said;decir;
let;dejar;
drop-dropped;dejar caer;
hope-hoped;desear;esperar
wake-woke-woken;despertar;
destroy-destroyed;destruir;
draw-drew-drawn;dibujar;
shoot-shot;disparar;
sleep-slept;dormir;
miss-missed;echar de menos;perder
choose-chose-chosen;elegir;
begin-began-begun;empezar;
start-started;empezar;
push-pushed;empujar;
turn on-turned on;encender;
find-found;encontrar;
meet-met;encontrar;quedar
teach-taught;enseñar;
understand-understood;entender;
send-sent;enviar;
climb-climbed;escalar;
write-wrote-written;escribir;
listen-listened;escuchar;
be-was/were-been;estar;ser
study-studied;estudiar;
improve-improved;favorecer;mejorar
film-filmed;filmar;
fry-fried;freír;
win-won;ganar;
earn-earned;ganar dinero;
turn-turned;girar;
hit;golpear;
keep-kept;guardar;
speak-spoke-spoken;hablar;
do-did-done;hacer;
make-made;hacer;
hurt;herir;
try-tried;intentar;
invent-invented;inventar;
invite-invited;invitar;
inject-injected;inyectar;
go-went-gone;ir;
throw-threw-thrown;lanzar;
wash-washed;lavar;
read;leer;
stand-stood;levantarse;
fight-fought;luchar;
call-called;llamar;
arrive-arrived;llegar;
become-became-become;llegar a ser;
wear-wore-worn;llevar puesto;
cry-cried;llorar;
rain-rained;llover;
manage-managed;manejar;
score-scored;marcar;
kill-killed;matar;
deserve-deserved;merecer;
annoy-annoyed;molestar;
ride-rode-ridden;montar;
bite-bit-bitten;morder;
die-died;morir;
swim-swam-swum;nadar;
sail-sailed;navegar;
need-needed;necesitar;
snow-snowed;nevar;
happen-happened;ocurrir;
hate-hated;odiar;
offer-offered;ofrecer;
hear-heard;oír;
forget-forgot-forgotten;olvidar;
tidy-tidied;ordenar;
pay-paid;pagar;
stop-stopped;parar;
spend-spent;pasar el tiempo;
skate-skated;patinar;
think-thought;pensar;
lose-lost;perder;
permit-permited;permitir;
weigh-weighed;pesar;
paint-painted;pintar;
plan-planned;planear;
put;poner;
put on;ponerse;
put down;poner en el suelo;
ask-asked;preguntar;
worry-worried;preocupar;
lend-lent;prestar;
stay-stayed;quedarse;
burn-burnt/burned;quemar;
want-wanted;querer;
take off-took off-taken off;quitarse;
receive-received;recibir;
pick up-picked up;recoger;
laugh-laughed;reír;
repair-repaired;reparar;
deliver-delivered;repartir;
revise-revised;revisar;
pray-prayed;rezar;
steal-stole-stolen;robar;
break-broke-broken;romper;
know-knew-known;saber;
jump-jumped;saltar;
sit-sat;sentarse;
feel-felt;sentir;
serve-served;servir;
smile-smiled;sonreír;
dream-dreamt;soñar;
hold-held;sostener;
ring-rang-rung;telefonear;
have-had;tener;
succeed-succeeded;tener éxito;
pull-pulled;tirar;
bring-brought;traer;
carry-carried;transportar;
use-used;usar;
sell-sold;vender;
come-came-come;venir;
see-saw-seen;ver;
travel-traveled;viajar;
visit-visited;visitar;
live-lived;vivir;
fly-flew-flown;volar;
